,address,lat,lon
0,1020 STATE HIGHWAY 16 SOUTH FREDERICKSBURG TX,30.2620571,-98.8816906
1,2400 LEE HIGHWAY PULASKI VA,37.0682291,-80.75703
2,54-383 HOSPITAL ROAD KAPAAU HI,20.2325101,-155.7966622
3,1901 COLLEGE AVE SANTA ANA CA,33.7621884,-117.8916223
4,1800 E COPLIN OKEMAH OK,35.4227852,-96.2768072
5,5601 PLUM CREEK DRIVE AMARILLO TX,35.2188103,-101.9026649
6,305 LANGDON STREET SOMERSET KY,37.0859896,-84.6202767
7,130 MEDICAL CIRCLE NASHVILLE AR,33.9509819,-93.880167
8,503 NORTH 21ST STREET CAMP HILL PA,40.2536688,-76.9219133
9,215 MIMS ROAD SYLVANIA GA,32.750229,-81.64691599999999
10,832 SOUTH MAIN STREET ORRVILLE OH,40.8319512,-81.7641064
11,1945 STATE ROUTE 33 NEPTUNE NJ,40.209231,-74.0412255
12,3551 ROGER BROOKE DR FORT SAM HOUSTON TX,29.46065729999999,-98.4158056
13,BO MONACILLOS CARR 22 CENTRO MEDICO DE PUERTO RIC SAN JUAN PR,18.3958646,-66.0736306
14,145 WARD HILL AVENUE HAVERHILL MA,42.7617077,-71.1189497
15,2380 NORTH 400 EAST NORTH LOGAN UT,41.7754843,-111.821366
16,13219 N MERIDIAN STREET CARMEL IN,39.9805281,-86.1533163
17,3402 S 19TH ST TACOMA WA,47.24222229999999,-122.4812197
18,1923 S UTICA AVE TULSA OK,36.1341001,-95.96689839999999
19,300 MAIN STREET LEWISTON ME,44.1021568,-70.2145298
20,768 MOUNTAIN RANCH ROAD SAN ANDREAS CA,38.1908341,-120.6700478
21,170 N CASEVILLE RD PIGEON MI,43.8342045,-83.278195
22,245 GOVERNORS DR SE HUNTSVILLE AL,34.7207583,-86.5749901
23,2 COOPER PLAZA CAMDEN NJ,39.9420789,-75.11526119999999
24,7600 CENTRAL AVENUE PHILADELPHIA PA,40.0708188,-75.0872131
25,300 WEST MAY STREET MARENGO IA,41.8019458,-92.07321309999999
26,600 EAST I 20 STANTON TX,32.1411563,-101.7943788
27,5500 EAST KELLOGG DRIVE WICHITA KS,37.6814066,-97.2741365
28,1900 E. MAIN DANVILLE IL,40.1241078,-87.5861147
29,"2601 WEST RANDOL MILL ROAD, UNIT 101 ARLINGTON TX",32.7560646,-97.1442904
30,42121 US HIGHWAY 70 PORTALES NM,34.169133,-103.361978
31,7000 JEFFERSON STREET NE ALBUQUERQUE NM,35.1603562,-106.5925466
32,1200 WESTWOOD DR HAMILTON MT,46.2480621,-114.1720215
33,8300 CONSTITUTION AVENUE NE ALBUQUERQUE NM,35.0928034,-106.5534192
34,4601 IRONBOUND ROAD WILLIAMSBURG VA,37.2904095,-76.7363125
35,801 LOCUST STREET LA CROSSE KS,38.5305933,-99.3169846
36,2695 NORTH CRAYCROFT ROAD TUCSON AZ,32.2560597,-110.8763868
37,9522 HUEBNER ROAD SAN ANTONIO TX,29.5302075,-98.58987379999999
38,1000 SOUTH MAIN SHAMROCK TX,35.1990736,-100.2480081
39,"1430 S HIGH STREET, 2ND FLOOR COLUMBUS OH",39.9331161,-82.9949239
40,7503 SURRATTS ROAD CLINTON MD,38.7482095,-76.8758795
41,5401 LAKE OCONEE PARKWAY GREENSBORO GA,33.4813372,-83.2421529
42,10901 WORLD TRADE BLVD RALEIGH NC,35.9027533,-78.8157883
43,1400 RIVER PLACE BRASELTON GA,34.1204065,-83.8377342
44,1310 PUNAHOU STREET HONOLULU HI,21.3002109,-157.8357295
45,1201 S MAIN ST CROWN POINT IN,41.394293,-87.365178
46,4058 WEST MELROSE STREET CHICAGO IL,41.9402753,-87.72904679999999
47,4250 HOSPITAL DR MARIANNA FL,30.78647,-85.24257089999999
48,1516 E LAS OLAS BLVD FORT LAUDERDALE FL,26.1191568,-80.1275924
49,2070 CENTURY PARK E LOS ANGELES CA,34.0591167,-118.4118833
50,7353 SISTERS GROVE COLORADO SPRINGS CO,38.9374119,-104.7126337
51,5642 HAMILTON AVENUE CINCINNATI OH,39.1923552,-84.5435552
52,2540 WINDY HILL ROAD MARIETTA GA,33.8996934,-84.4796295
53,860 KEMPSVILLE ROAD NORFOLK VA,36.853049,-76.1896491
54,75 NEW SCOTLAND AVE ALBANY NY,42.654302,-73.7799579
55,10000 W COLONIAL DR OCOEE FL,28.5497756,-81.52788559999999
56,461 W HURON PONTIAC MI,42.6344243,-83.3092035
57,15000 GRATIOT DETROIT MI,42.4437738,-82.9712417
58,433 W HIGH STREET BRYAN OH,41.4740703,-84.55710649999999
59,901 MOUNTAIN VIEW DRIVE SHELTON WA,47.2256503,-123.1145652
60,8105 VETERANS WAY MONTGOMERY AL,32.3576984,-86.1285042
61,55 R E JENNINGS AVE SE ARLINGTON GA,31.4362216,-84.7219544
62,920 CHURCH ST N CONCORD NC,35.4380048,-80.6009469
63,900 E BROADWAY BISMARCK ND,46.8076302,-100.777575
64,530 PARK AVENUE EAST PRINCETON IL,41.36695750000001,-89.4559737
65,5450 FORT STREET TRENTON MI,42.1170056,-83.213539
66,"24429 TOMBALL PARKWAY, SUITE 100 TOMBALL TX",30.0371675,-95.6061809
67,3250 ZEMKE AVE MACDILL AFB FL,27.8600535,-82.50073940000001
68,"1320 MERCY DR NW, 6TH FLOOR CANTON OH",40.8124943,-81.3964941
69,2520 VALLEY DRIVE GLEN WASHINGTON WV,38.5976262,-80.4549026
70,3751 KATELLA AVE LOS ALAMITOS CA,33.8042516,-118.0675424
71,201 SOUTH MARKET STREET CHARLESTON MS,34.0038107,-90.05971509999999
72,9600 GROSS POINT RD SKOKIE IL,42.05597909999999,-87.7395956
73,680 CENTRE STREET BROCKTON MA,42.0877929,-70.99136539999999
74,2799 NORTH WASHINGTON STREET CHILLICOTHE MO,39.8171667,-93.5509865
75,6262 SOUTH SHERIDAN ROAD TULSA OK,36.072781,-95.9056294
76,100 HEALTHY WAY OLIVIA MN,44.7744069,-94.972512
77,11690 GROOMS RD CINCINNATI OH,39.28193690000001,-84.3675913
78,2525 S DOWNING ST DENVER CO,39.6705695,-104.9745722
79,"155 MEMORIAL DR, PO BOX 3000 PINEHURST NC",35.2050674,-79.4566766
80,1015 MAR WALT DR FORT WALTON BEACH FL,30.4565413,-86.6353647
81,200 W ARBOR DR SAN DIEGO CA,32.7542698,-117.166135
82,1201 W LOUIS HENNA BLVD AUSTIN TX,30.4771496,-97.6902542
83,1100 MERCER AVE DECATUR IN,40.817419,-84.91503689999999
84,2329 PARKER RD CARROLLTON TX,33.0435473,-96.8663593
85,305 ESTILL STREET BEREA KY,37.5766235,-84.28630559999999
86,PR-997 KM H .1 C/ANTONIO G MELLADO FINAL VIEQUES PR,18.146826,-65.441281
87,"3916 BEN FRANKLIN BLVD, PO BOX 15819 DURHAM NC",36.0428317,-78.8971115
88,450 SOUTH OCOTILLO AVENUE BENSON AZ,31.9645592,-110.3076796
89,1575 BEAM AVENUE MAPLEWOOD MN,45.0286219,-93.0322537
90,1201 W LA VETA AVE ORANGE CA,33.7809877,-117.8657581
91,100 EAST HELEN STREET HERINGTON KS,38.6800991,-96.9423005
92,3500 TOWER AVE SUPERIOR WI,46.6975411,-92.1027222
93,802 2ND STREET SE CUT BANK MT,48.6282523,-112.3268579
94,100 SOUTH ELLIS BOISE CITY OK,36.7286669,-102.5181963
95,3000 GETWELL ROAD MEMPHIS TN,35.0671862,-89.9310167
96,850 RIVERVIEW AVENUE PINEVILLE KY,36.7626902,-83.70770840000002
97,1600 PRAIRIE CENTER PKWY BRIGHTON CO,39.9645491,-104.7685472
98,810 N WELO ST TIOGA ND,48.403004,-102.9350655
99,3100 SUPERIOR AVE SHEBOYGAN WI,43.7624789,-87.7478249
